adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,belongs_to_collection,budget,genres,homepage,imdb_id,origin_country,production_companies,production_countries,revenue,runtime,spoken_languages,status,tagline,is_marvel
False,/dTn1HGhCuq26IoBq9qKsiYNFxfq.jpg,"[14, 28, 12]",453395,en,Doctor Strange in the Multiverse of Madness,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",9.9301,/ddJcSKbcp4rKZTmuyWaMhuwcfMz.jpg,2022-05-04,Doctor Strange in the Multiverse of Madness,False,7.228,10094,Doctor Strange Collection,290000000,"['Fantasy', 'Action', 'Adventure']",https://www.marvel.com/movies/doctor-strange-in-the-multiverse-of-madness,tt9419884,['US'],"['Marvel Studios', 'Kevin Feige Productions']",['United States of America'],955775804,126,"['Cantonese', 'English', 'Spanish']",Released,Enter a new dimension of Strange.,true
False,/wZS4xSfPtk1NPQnx9zsT5R2WhCu.jpg,"[10751, 35, 12, 16, 878, 14]",438148,en,Minions: The Rise of Gru,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",8.628,/wKiOkZTN9lUUUNZLmtnwubZYONg.jpg,2022-06-29,Minions: The Rise of Gru,False,7.276,3937,Minions Collection,85000000,"['Family', 'Comedy', 'Adventure', 'Animation', 'Science Fiction', 'Fantasy']",https://www.minionsmovie.com/,tt5113044,['US'],"['Universal Pictures', 'Illumination']",['United States of America'],940203765,87,['English'],Released,A villain will rise.,false
False,/xDMIl84Qo5Tsu62c9DGWhmPI67A.jpg,"[28, 12, 878]",505642,en,Black Panther: Wakanda Forever,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",12.1798,/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,2022-11-09,Black Panther: Wakanda Forever,False,7.012,7290,Black Panther Collection,250000000,"['Action', 'Adventure', 'Science Fiction']",https://wakandaforevertickets.com,tt9114286,['US'],['Marvel Studios'],['United States of America'],859102154,162,"['English', 'French', 'Haitian; Haitian Creole', 'Spanish', 'Xhosa']",Released,Forever.,true
False,/rvtdN5XkWAfGX6xDuPL6yYS2seK.jpg,"[80, 9648, 53]",414906,en,The Batman,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",15.9058,/74xTEgt7R36Fpooo50r9T25onhq.jpg,2022-03-01,The Batman,False,7.656,11641,The Batman Collection,185000000,"['Crime', 'Mystery', 'Thriller']",https://www.thebatman.com,tt1877830,['US'],"['6th & Idaho Motion Picture Company', 'Dylan Clark Productions', 'DC Films', 'Warner Bros. Pictures']",['United States of America'],772775278,177,['English'],Released,Unmask the truth.,false
False,/1a79WqBS43V0i7Y5dUbiIGpFS2q.jpg,"[14, 28, 35]",616037,en,Thor: Love and Thunder,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",8.66,/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,2022-07-06,Thor: Love and Thunder,False,6.377,8391,Thor Collection,250000000,"['Fantasy', 'Action', 'Comedy']",https://www.marvel.com/movies/thor-love-and-thunder,tt10648342,['US'],"['Marvel Studios', 'Kevin Feige Productions']",['United States of America'],760928081,119,['English'],Released,The one is not the only.,true
False,,"[18, 28, 99]",1239561,en,Waffle F1 - The Movie,Feel the adrenaline and excitement of racing at the highest level in the official movie of the Waffle F1 Championship.,0.0697,,2022-05-11,Waffle F1 - The Movie,False,0.0,0,,0,"['Drama', 'Action', 'Documentary']",,,['US'],[],[],631742436,63,[],Released,The greatest rush you can get,false
False,/93BFLgHE0G10hXiDOUDHnRmQzZD.jpg,"[10752, 36, 28, 18]",928123,zh,长津湖之水门桥,Commander Wu Qianli leads the 7th Infantry Company soldiers to Funchilin Pass where they are tasked to destroy a bridge to stop enemy troops from retreating.,1.8055,/4W58wirZhbzcw2lNzRS2ErKnOGS.jpg,2022-02-01,The Battle at Lake Changjin II: Water Gate Bridge,False,6.3,90,The Battle at Lake Changjin Collection,200000000,"['War', 'History', 'Action', 'Drama']",,tt16194408,['CN'],"['Bona Film Group', 'Distribution Workshop', 'Alibaba Pictures Group', 'Huaxia Film Distribution', 'Just Creative Studio', 'Mandrill Visual Effects', 'China Film Group Corporation']","['China', 'Hong Kong']",626203271,149,"['Mandarin', 'English']",Released,,false
False,/ctMserH8g2SeOAnCw5gFjdQF8mo.jpg,"[35, 12]",346698,en,Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",19.205,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,2023-07-19,Barbie,False,6.929,10796,,145000000,"['Comedy', 'Adventure']",https://www.barbie-themovie.com,tt1517268,['US'],"['LuckyChap Entertainment', 'Heyday Films', 'NB/GG Pictures', 'Mattel', 'Warner Bros. Pictures']","['United Kingdom', 'United States of America']",1447138421,114,['English'],Released,She's everything. He's just Ken.,false
False,/9n2tJBplPbgR2ca05hS5CKXwP2c.jpg,"[10751, 35, 12, 16, 14]",502356,en,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",17.4142,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,2023-04-05,The Super Mario Bros. Movie,False,7.593,10289,The Super Mario Collection,100000000,"['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']",https://www.uphe.com/movies/the-super-mario-bros-movie,tt6718170,['US'],"['Universal Pictures', 'Illumination', 'Nintendo']","['Japan', 'United States of America']",1362000000,93,['English'],Released,Not all heroes wear capes. Some wear overalls.,false
False,/ycnO0cjsAROSGJKuMODgRtWsHQw.jpg,"[18, 36]",872585,en,Oppenheimer,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,19.7563,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,2023-07-19,Oppenheimer,False,8.034,11386,,100000000,"['Drama', 'History']",https://www.universalpictures.com/movies/oppenheimer,tt15398776,['US'],"['Syncopy', 'Universal Pictures', 'Atlas Entertainment', 'Breakheart Films', 'Peters Creek Entertainment']","['United Kingdom', 'United States of America']",952000000,181,"['Dutch', 'English']",Released,The world forever changes.,false
False,/hoVj2lYW3i7oMd1o7bPQRZd1lk1.jpg,"[878, 12, 28]",447365,en,Guardians of the Galaxy Vol. 3,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",16.746,/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg,2023-05-03,Guardians of the Galaxy Vol. 3,False,7.926,8032,Guardians of the Galaxy Collection,250000000,"['Science Fiction', 'Adventure', 'Action']",https://www.marvel.com/movies/guardians-of-the-galaxy-volume-3,tt6791350,['US'],"['Marvel Studios', 'Kevin Feige Productions']",['United States of America'],845550000,150,['English'],Released,Once more with feeling.,true
False,/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,"[28, 80, 53]",385687,en,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",19.074,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,2023-05-17,Fast X,False,7.003,6208,The Fast and the Furious Collection,340000000,"['Action', 'Crime', 'Thriller']",https://fastxmovie.com,tt5433140,['US'],"['Universal Pictures', 'Original Film', 'One Race', 'Perfect Storm Entertainment']",['United States of America'],704709660,142,"['English', 'Spanish']",Released,The end of the road begins.,false
False,/9xfDWXAUbFXQK585JvByT5pEAhe.jpg,"[16, 28, 12, 878]",569094,en,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",23.1756,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,2023-05-31,Spider-Man: Across the Spider-Verse,False,8.3,8291,Spider-Man: Spider-Verse Collection,100000000,"['Animation', 'Action', 'Adventure', 'Science Fiction']",https://www.sonypictures.com/movies/spidermanacrossthespiderverse,tt9362722,['US'],"['Columbia Pictures', 'Sony Pictures Animation', 'Lord Miller', 'Pascal Pictures', 'Arad Productions', 'Marvel Entertainment']",['United States of America'],690897910,140,"['English', 'Hindi', 'Italian', 'Spanish']",Released,It's how you wear the mask that matters.,false
False,/hcWXnOL7ScXpFQVjJruYUODeQxX.jpg,"[9648, 35, 53, 36]",1066298,zh,满江红,"During China's Song Dynasty, a mysterious murder occurs at Chancellor Quin Hui's palace after meeting delegates from the neighboring Jin Dynasty. The members become embroiled not just in a murder mystery, but a larger conspiracy concerning the fate of the empire.",1.737,/kOoxkXTYTi4OipM5G97gK9jnYIk.jpg,2023-01-22,Full River Red,False,5.988,169,,0,"['Mystery', 'Comedy', 'Thriller', 'History']",,tt21148018,['CN'],"['Huanxi Media Group', 'Edko Films', 'Emperor Motion Pictures']","['China', 'Hong Kong']",673556758,157,['Mandarin'],Released,,false
False,/uIk2g2bRkNwNywKZIhC5oIU94Kh.jpg,"[35, 10751, 14]",787699,en,Wonka,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.",8.7653,/qhb1qOilapbapxWQn9jtRCMwXJF.jpg,2023-12-06,Wonka,False,7.041,4277,Wonka Collection,125000000,"['Comedy', 'Family', 'Fantasy']",https://www.wonkamovie.com,tt6166392,['GB'],"['Warner Bros. Pictures', 'Village Roadshow Pictures', 'The Roald Dahl Story Company', 'Heyday Films', 'Domain Entertainment']","['United Kingdom', 'United States of America']",634502312,117,['English'],Released,Every good thing in this world started with a dream.,false
False,/628Dep6AxEtDxjZoGP78TsOxYbK.jpg,"[28, 53, 12]",575264,en,Mission: Impossible - Dead Reckoning Part One,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",10.9586,/NNxYkU70HPurnNCSiCjYAmacwm.jpg,2023-07-08,Mission: Impossible - Dead Reckoning Part One,False,7.507,4936,Mission: Impossible Collection,220000000,"['Action', 'Thriller', 'Adventure']",https://www.paramountmovies.com/movies/mission-impossible-dead-reckoning,tt9603212,['US'],"['Paramount Pictures', 'Skydance Media', 'TC Productions']",['United States of America'],571125435,164,"['French', 'English', 'Italian', 'Russian']",Released,We all share the same fate.,false
