id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,imdb_average_rating,imdb_vote_count
524434,Eternals,6.927,7493,Released,2021-11-03,402064899,156,False,/c6H7Z4u73ir3cIoCteuhJh7UCAR.jpg,200000000,https://www.marvel.com/movies/the-eternals,tt9032400,en,Eternals,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",60.521,/lFByFSLV5WDJEv3KabbdAF959F2.jpg,In the beginning...,"Science Fiction, Action, Adventure",Marvel Studios,"Canada, United States of America","Arabic, English, Hindi, Latin, Spanish","superhero, supernatural, based on comic, alien, super power, aftercreditsstinger, marvel cinematic universe (mcu), sign languages, ancient, god-like",6.2,423444.0
616037,Thor: Love and Thunder,6.517,6510,Released,2022-07-06,760928081,119,False,/vvObT0eIWGlArLQx3K5wZ0uT812.jpg,250000000,https://www.marvel.com/movies/thor-love-and-thunder,tt10648342,en,Thor: Love and Thunder,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",117.087,/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,The one is not the only.,"Fantasy, Action, Comedy","Marvel Studios, Kevin Feige Productions",United States of America,English,"hero, ex-girlfriend, superhero, greek mythology, based on comic, sequel, shadow, norse mythology, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), heroes, norse god, god of thunder, colorless, child abduction, thor",6.1,455395.0
505642,Black Panther: Wakanda Forever,7.193,5475,Released,2022-11-09,859102154,162,False,/xDMIl84Qo5Tsu62c9DGWhmPI67A.jpg,250000000,https://wakandaforevertickets.com,tt9114286,en,Black Panther: Wakanda Forever,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",131.897,/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,Forever.,"Action, Adventure, Science Fiction",Marvel Studios,United States of America,"English, French, Haitian; Haitian Creole, Spanish, Xhosa","hero, loss of loved one, superhero, royal family, based on comic, sequel, royalty, underwater, political intrigue , death in family, mourning, death of brother, duringcreditsstinger, death of king, marvel cinematic universe (mcu), hidden civilization, yucatan, mayans",6.6,365403.0
447365,Guardians of the Galaxy Vol. 3,8.023,4941,Released,2023-05-03,845430302,150,False,/5YZbUmjbMa3ClvSW1Wj3D6XGolb.jpg,250000000,https://www.marvel.com/movies/guardians-of-the-galaxy-volume-3,tt6791350,en,Guardians of the Galaxy Vol. 3,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",318.516,/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg,Once more with feeling.,"Science Fiction, Adventure, Action","Marvel Studios, Kevin Feige Productions",United States of America,English,"hero, superhero, mad scientist, based on comic, sequel, superhero team, space opera, raccoon, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), cosmic, outer space, chosen family",7.9,463630.0
640146,Ant-Man and the Wasp: Quantumania,6.431,4009,Released,2023-02-15,476071180,125,False,/m8JTwHFwX7I7JY5fPe4SjqejWag.jpg,200000000,https://www.marvel.com/movies/ant-man-and-the-wasp-quantumania,tt10954600,en,Ant-Man and the Wasp: Quantumania,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",173.694,/qnqGbB22YJ7dSs4o6M7exTpNxPz.jpg,Witness the beginning of a new dynasty.,"Action, Adventure, Science Fiction","Marvel Studios, Kevin Feige Productions",United States of America,English,"hero, superhero, ant, based on comic, sequel, family, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",6.0,266136.0
533535,Deadpool & Wolverine,7.558,8293,Released,2024-07-24,1338073645,128,False,/ufpeVEM64uZHPpzzeiDNIAdaeOD.jpg,200000000,https://www.marvel.com/movies/deadpool-3,tt6263850,en,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",24.3599,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,,"Action, Adventure, Comedy","Marvel Studios, Kevin Feige Productions, Maximum Effort, 21 Laps Entertainment",United States of America,English,"hero, superhero, anti hero, mutant, marvel cinematic universe (mcu), x-men",7.5,556088.0
609681,The Marvels,5.946,3254,Released,2023-11-08,206136825,105,False,/JdT3ywizJIICTZCb4dteyCspON.jpg,274800000,https://www.marvel.com/movies/the-marvels,tt10676048,en,The Marvels,"When her duties send her to an anomalous wormhole linked to a Kree revolutionary, Carol's powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol's estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",6.8192,/9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg,Higher. Further. Faster. Together.,"Action, Adventure, Science Fiction","Marvel Studios, Kevin Feige Productions",United States of America,English,"hero, superhero, space travel, based on comic, sequel, teenage girl, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), space adventure, cheerful, demeaning, enchant, excited, hopeful",5.5,161567.0
617126,The Fantastic 4: First Steps,6.97,3015,Released,2025-07-23,521858728,115,False,/s94NjfKkcSczZ1FembwmQZwsuwY.jpg,200000000,https://www.marvel.com/movies/fantastic-four,tt10676052,en,The Fantastic 4: First Steps,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",29.4047,/nf5qaSEvyYSNeFH0YhSs5EsBLX9.jpg,,Science Fiction,"Marvel Studios, Kevin Feige Productions",United States of America,English,"superhero, based on comic, family, marvel cinematic universe (mcu)",6.8,247383.0
986056,Thunderbolts*,7.294,3237,Released,2025-04-30,382436917,127,False,/jYCyTdPfgT01IOJWDnnetr9RDX6.jpg,180000000,https://www.marvel.com/movies/thunderbolts,tt20969586,en,Thunderbolts*,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",17.3314,/hqcexYHbiTBfDIdDWxrxPtVndBX.jpg,,"Action, Adventure","Marvel Studios, Kevin Feige Productions",United States of America,English,"villain, based on comic, marvel cinematic universe (mcu), antihero, ragtag",7.1,265571.0
822119,Captain America: Brave New World,6.0,2939,Released,2025-02-12,415101577,119,False,/8eifdha9GQeZAkexgtD45546XKx.jpg,180000000,https://www.marvel.com/movies/captain-america-brave-new-world,tt14513804,en,Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",14.4532,/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,,"Action, Adventure, Science Fiction","Marvel Studios, Kevin Feige Productions",United States of America,English,"hero, superhero, superhero team, marvel cinematic universe (mcu)",5.6,177904.0
